자치구,설치위치,위도,경도,시설형태
강서구,강서구청 주차장 뒤편,37.55108685,126.8496495,개방형
강서구,강서구민회관 1층,37.55349582,126.8435306,개방형
강서구,보타닉 파크타워 옥상,37.56716306,126.8267724,완전개방형
강서구,FITI 시험연구원 서울본원 옥상,37.56793207,126.8385426,완전개방형
강서구,라파스 본사 옥상,37.56637575,126.8370066,완전개방형
강서구,메인텍 연구소 옥상,37.56577224,126.8371268,완전개방형
강서구,마곡대명투웨니퍼스트 옥상,37.56512729,126.8398758,개방형
강서구,벨리오 오피스텔 옥상,37.56477572,126.8397407,완전개방형
강서구,롯데중앙 연구소주차장 옆,37.5714173,126.8278323,폐쇄형
강서구,디앤오 강서사옥 옥상,37.56695391,126.8285415,개방형
강서구,마곡실내배드민턴장 1층 추자창 뒤편,37.57327613,126.8313174,개방형
강서구,하늘길 233 골프연습장,37.55351302,126.813498,개방형
강서구,지투프라자 3층,37.56039902,126.8347617,완전개방형
강서구,세움빌딩 3층,37.56032749,126.8351495,완전개방형
강서구,김포공항화물청사 1층 옥외의 일부,37.56054217,126.8046015,폐쇄형
강서구,김포공항국제선 옥외의 일부, 37.56596925524195,126.8010586,폐쇄형
강서구,"하늘길 111, 김포공항국내선 옥외의 일부",37.55871937,126.8029227,폐쇄형
양천구,양천구청 앞,37.51694793,126.8665015,완전개방형
양천구,해누리타운 4층 옥외정원,37.51595822, 126.8637743789293,완전개방형
양천구,양천경찰서 앞,37.51656171, 126.86558311435341,완전개방형
양천구,남부지방법원 후문 옆,37.52165027,126.8637499,개방형
양천구,양천세무서 부지 우측,37.52052208,126.8700188,개방형
양천구,서울시 출입국관리사무소 앞,37.51920162,126.8695771,개방형
양천구,홍익병원 옥상, 37.528466271540736,126.8636809,개방형
양천구,현대백화점 4층,37.52656441, 126.87523492424245,완전개방형
양천구,한국방송회관 7층,37.52692287, 126.87132567952605,완전개방형
양천구,양천벤처타운 앞,37.5122417,126.85081895743586 ,개방형
양천구,KT 목동타워 앞,37.52865566,126.87189119535772,개방형
양천구,KT 정보센터 앞,37.52950165,126.871013,개방형
양천구,목동아이스링크 앞,37.53080312,126.87908297486867 ,개방형
양천구,현대드림타워 후문 부지,37.52745475,126.87158779546536 ,완전개방형
구로구,고척돔 1층 3루측 매표소 앞,37.49888461,126.8681197,개방형
구로구,고척돔 2층 C Gate 앞(화단 상부),37.49918101,126.86728232813007 ,개방형
구로구,고척돔 2층 A Gate 측면(1루측),37.49867086,126.86632764130964 ,개방형
구로구,고척돔 E Gate 측면(3루측),37.49836195,126.86805276978998 ,개방형
구로구,고척돔 외야 매표소 앞 광장 하부,37.49678892,126.86735441233525 ,개방형
구로구,고척돔 외야 축구장 출입구 측면부,37.4961944,126.8674855102358 ,개방형
구로구,고려대학교 구로병원 주차장 앞,37.49117964,126.8846377,개방형
구로구,대룡포스트타워1 앞,37.48356957,126.8955028,개방형
구로구,대룡포스트타워3차 앞,37.48547262,126.8982231,개방형
